Gene	sgRNA	eff
PDCD4_P2	PDCD4_+_112657979.23-P2_1	1
PDCD4_P2	PDCD4_+_112658247.23-P2_4	1
PDCD4_P2	PDCD4_+_112658108.23-P2_5	1
PDCD4_P2	PDCD4_-_112658257.23-P2_3	1
PDCD4_P2	PDCD4_-_112658005.23-P2_2	1
ZNF85_P1P2	ZNF85_+_21106076.23-P1P2_3	1
ZNF85_P1P2	ZNF85_-_21106240.23-P1P2_5	1
ZNF85_P1P2	ZNF85_+_21106320.23-P1P2_4	1
ZNF85_P1P2	ZNF85_+_21106343.23-P1P2_2	1
ZNF85_P1P2	ZNF85_-_21106392.23-P1P2_1	1
ZNF600_P1P2	ZNF600_-_53289995.23-P1P2_2	1
ZNF600_P1P2	ZNF600_-_53289603.23-P1P2_4	1
ZNF600_P1P2	ZNF600_-_53289553.23-P1P2_5	1
ZNF600_P1P2	ZNF600_+_53289901.23-P1P2_3	1
ZNF600_P1P2	ZNF600_+_53290020.23-P1P2_1	1
ZNF716_P1P2	ZNF716_+_57509865.23-P1P2_4	1
ZNF716_P1P2	ZNF716_-_57510361.23-P1P2_3	1
ZNF716_P1P2	ZNF716_-_57510379.23-P1P2_2	1
ZNF716_P1P2	ZNF716_+_57510178.23-P1P2_5	1
ZNF716_P1P2	ZNF716_-_57509878.23-P1P2_1	1
ZFPM1_P1P2	ZFPM1_-_88519775.23-P1P2_5	1
ZFPM1_P1P2	ZFPM1_+_88519702.23-P1P2_3	1
ZFPM1_P1P2	ZFPM1_-_88519713.23-P1P2_1	1
ZFPM1_P1P2	ZFPM1_+_88519746.23-P1P2_4	1
ZFPM1_P1P2	ZFPM1_+_88519733.23-P1P2_2	1
ZNF705A_P1P2	ZNF705A_+_8309257.23-P1P2_3	1
ZNF705A_P1P2	ZNF705A_-_8309410.23-P1P2_4	1
ZNF705A_P1P2	ZNF705A_-_8309407.23-P1P2_5	1
ZNF705A_P1P2	ZNF705A_-_8309415.23-P1P2_2	1
ZNF705A_P1P2	ZNF705A_-_8309242.23-P1P2_1	1
ZNF571_P1P2	ZNF571_-_38085623.23-P1P2_3	1
ZNF571_P1P2	ZNF571_-_38085628.23-P1P2_1	1
ZNF571_P1P2	ZNF571_-_38085616.23-P1P2_2	1
ZNF571_P1P2	ZNF571_-_38085259.23-P1P2_5	1
ZNF571_P1P2	ZNF571_+_38085620.23-P1P2_4	1
H2AFZ_P1P2	H2AFZ_-_100871385.23-P1P2_5	1
H2AFZ_P1P2	H2AFZ_+_100871475.23-P1P2_1	1
H2AFZ_P1P2	H2AFZ_+_100871399.23-P1P2_4	1
H2AFZ_P1P2	H2AFZ_+_100871503.23-P1P2_2	1
H2AFZ_P1P2	H2AFZ_+_100871379.23-P1P2_3	1
ZNF585A_P1P2	ZNF585A_-_37663577.23-P1P2_2	1
ZNF585A_P1P2	ZNF585A_+_37663586.23-P1P2_3	1
ZNF585A_P1P2	ZNF585A_-_37663591.23-P1P2_1	1
ZNF585A_P1P2	ZNF585A_+_37663477.23-P1P2_5	1
ZNF585A_P1P2	ZNF585A_+_37663564.23-P1P2_4	1
ZNF585B_P1P2	ZNF585B_-_37701400.23-P1P2_3	1
ZNF585B_P1P2	ZNF585B_+_37701409.23-P1P2_1	1
ZNF585B_P1P2	ZNF585B_-_37701366.23-P1P2_2	1
ZNF585B_P1P2	ZNF585B_-_37701417.23-P1P2_4	1
ZNF585B_P1P2	ZNF585B_+_37701449.23-P1P2_5	1
ZNF132_P1P2	ZNF132_-_58951524.23-P1P2_4	1
ZNF132_P1P2	ZNF132_-_58951521.23-P1P2_2	1
ZNF132_P1P2	ZNF132_-_58951324.23-P1P2_5	1
ZNF132_P1P2	ZNF132_+_58951445.23-P1P2_1	1
ZNF132_P1P2	ZNF132_-_58951319.23-P1P2_3	1
MDM4_P1P2	MDM4_-_204485569.23-P1P2_3	1
MDM4_P1P2	MDM4_-_204485512.23-P1P2_5	1
MDM4_P1P2	MDM4_+_204485630.23-P1P2_4	1
MDM4_P1P2	MDM4_+_204485557.23-P1P2_1	1
MDM4_P1P2	MDM4_+_204485592.23-P1P2_2	1
MAP3K13_P2	MAP3K13_-_185081141.23-P2_4	1
MAP3K13_P2	MAP3K13_-_185080952.23-P2_2	1
MAP3K13_P2	MAP3K13_-_185081028.23-P2_3	1
MAP3K13_P2	MAP3K13_+_185080978.23-P2_1	1
